Movie;Director;Running time;Actor 1;Actor 2;Actor 3;Genre;Budget;Box Office;Release year
Date Night;Shawn Levy;101;Mila Kunis;James Franco;Steve Carell;Comedy;55000000;152000000;2010
Hamlet 2;Andrew Fleming;92;Steve Coogan;Amy Poehler;David Arquette;Comedy;9000000;5000000;2008
Marie Antoinette;Sofia Coppola;123;Kirsten Dunst;Shirley Henderson;Rip Torn;Biography;40000000;60900000;2006
The Bourne Legacy;Tony Gilroy;135;Jeremy Renner;Scott Glenn;Stacy Keach;Action;125000000;276000000;2012
The Master of Disguise;Perry Andelin Blake;80;Jennifer Esposito;Kenan Thompson;James Brolin;Comedy;16000000;43000000;2002
Aloft;Claudia Llosa;97;Ian Tracey;Zen McGrath;William Shimell;Drama;8000000;26000000;2014
Barbershop;Tim Story;102;Sean Patrick Thomas;Jason George;Cedric the Entertainer;Comedy;12000000;77000000;2002
Fur: An Imaginary Portrait of Diane Arbus;Steven Shainberg;122;Robert Downey Jr.;Ty Burrell;Matt Servitto;Biography;16800000;7000000;2006
Leap Year;Anand Tucker;100;Adam Scott;Kaitlin Olson;Dominique McElligott;Comedy;19000000;60000000;2010
Taken 2;Olivier Megaton;98;Liam Neeson;Luke Grimes;D.B. Sweeney;Action;45000000;376000000;2012
Ask Me Anything;Allison Burnett;100;Kimberly Williams-Paisley;Gia Mantegna;Cathryn de Prume;Drama;950000;50000;2014
Lost Souls;Janusz Kaminski;97;Philip Baker Hall;Bob Clendenin;Ben Chaplin;Thriller;28000000;31200000;2000
Miss Congeniality 2: Armed and Fabulous;John Pasquin;115;Eileen Brennan;Diedrich Bader;Treat Williams;Action;45000000;72000000;2005
A Very Long Engagement;Jean-Pierre Jeunet;133;Denis Lavant;André Dussollier;Albert Dupontel;Drama;47000000;33000000;2004
Beyond the Black Rainbow;Panos Cosmatos;110;Chris Gauthier;Marilyn Norry;Eva Bourne;Sci-Fi;1100000;550000;2010
Lake Mungo;Joel Anderson;89;Talia Zucker;Rosie Traynor;Martin Sharpe;Thriller;1400000;300000;2008
Man on a Ledge;Asger Leth;102;Robert Clohessy;Mandy Gonzalez;J. Smith-Cameron;Action;42000000;47000000;2012
Monster House;Gil Kenan;91;Steve Buscemi;Jon Heder;Catherine O'Hara;Animation;75000000;140000000;2006
Oldboy;Chan-wook Park;120;Min-sik Choi;Ji-tae Yu;Hye-jeong Kang;Drama;3000000;15000000;2003
Parental Guidance;Andy Fickman;105;Bailee Madison;Gedde Watanabe;Tom Everett Scott;Comedy;25000000;104000000;2012
Mr 3000;Charles Stone III;104;Bernie Mac;Chris Noth;Paul Sorvino;Comedy;30000000;23000000;2004
Rodeo Girl;Joel Paul Reisig;108;Carrie Bradstreet;Joel Paul Reisig;Yassie Hawkes;Adventure;500000;1000000;2016
Texas Chainsaw 3D;John Luessenhop;92;Gunnar Hansen;Keram Malicki-Sánchez;Shaun Sipos;Horror;11000000;53000000;2013
The November Man;Roger Donaldson;108;Luke Bracey;Akie Kotabe;Will Patton;Action;15000000;34000000;2014
Elite Squad;José Padilha;115;Wagner Moura;Fernanda Machado;André Ramiro;Action;4000000;1490000;2007
I Don't Know How She Does It;Douglas McGrath;89;Olivia Munn;Busy Philipps;Jessica Szohr;Comedy;24000000;31000000;2011
The Raven;James McTeigue;110;Pam Ferris;Dave Legeno;Kevin McNally;Crime;26000000;29500000;2012
Little White Lies;Guillaume Canet;134;François Cluzet;Benoît Magimel;Gilles Lellouche;Comedy;25000000;16500000;2010
Motherhood;Katherine Dieckmann;90;Stephanie Szostak;Minnie Driver;Anthony Edwards;Comedy;5000000;100000;2009
The Devil Wears Prada;David Frankel;109;Meryl Streep;Anne Hathaway;Rebecca Mader;Comedy;35000000;326000000;2006
Buen Día Ramón;Jorge Ramírez Suárez;120;Hector Kotsifakis;Adriana Barraza;Arcelia Ramírez;Drama;4000000;11670000;2013
My Big Fat Greek Wedding 2;Kirk Jones;94;Nia Vardalos;Louis Mandylor;Joey Fatone;Comedy;18000000;88900000;2016
New Year's Eve;Garry Marshall;113;Robert De Niro;Common;Seth Meyers;Comedy;56000000;142000000;2011
Napoleon Dynamite;Jared Hess;92;Jon Heder;Diedrich Bader;Jon Gries;Comedy;400000;46400000;2004
The Tale of Despereaux;Sam Fell;93;Emma Watson;Matthew Broderick;Frank Langella;Animation;60000000;50000000;2008
One to Another;Pascal Arnold;95;Karl E. Landler;Lizzie Brocheré;Pierre Perrier;Drama;1400000;500000;2006
Spotlight;Tom McCarthy;128;Billy Crudup;Jamey Sheridan;Brian d'Arcy James;Biography;20000000;98000000;2015
Urbania;Jon Shear;106;Dan Futterman;Josh Hamilton;Matt Keeslar;Drama;225000;130000;2000
City of God;Fernando Meirelles;135;Alice Braga;Seu Jorge;Alexandre Rodrigues;Crime;3300000;30000000;2002
End of the Spear;Jim Hanon;108;Chase Ellison;Chad Allen;Jack Guzman;Adventure;10000000;12000000;2005
Admission;Paul Weitz;107;Tina Fey;Sarita Choudhury;Christopher Evan Welch;Comedy;13000000;18000000;2013
Gangster Squad;Ruben Fleischer;113;Ryan Gosling;Brandon Molale;Wade Williams;Action;60000000;105000000;2013
Proud;Mary Pat Kelly;87;Aidan Quinn;Ossie Davis;Janet Hubert;Drama;1000000;2000000;2004
The Wedding Date;Clare Kilner;90;Jack Davenport;Debra Messing;Holland Taylor;Comedy;15000000;47000000;2005
Laws of Attraction;Peter Howitt;90;Frances Fisher;Mike Doyle;Nora Dunn;Comedy;28000000;23000000;2004
The Glass House;Daniel Sackheim;106;Chris Noth;Bruce Dern;Trevor Morgan;Crime;30000000;23000000;2001
Blue Car;Karen Moncrieff;88;Frances Fisher;Agnes Bruckner;A.J. Buckley;Drama;1000000;470000;2002
Closer;Mike Nichols;98;Natalie Portman;Julia Roberts;Colin Stinton;Drama;27000000;115000000;2004
The Passion of the Christ;Mel Gibson;120;Christo Jivkov;Maia Morgenstern;Hristo Shopov;Drama;30000000;120000000;2004
Why Did I Get Married Too?;Tyler Perry;121;Michael Jai White;Cicely Tyson;Tasha Smith;Comedy;20000000;60000000;2010
Ice Age: Dawn of the Dinosaurs;Carlos Saldanha;94;Denis Leary;Maile Flanagan;Kelly Keaton;Action;90000000;887000000;2009
Machete;Ethan Maniquis;105;Robert De Niro;Don Johnson;Cheech Marin;Action;10500000;44000000;2010
Meet the Fockers;Jay Roach;106;Robert De Niro;Blythe Danner;Teri Polo;Comedy;80000000;511000000;2004
My Soul to Take;Wes Craven;107;Frank Grillo;Emily Meade;Zena Grey;Horror;25000000;27000000;2010
Nim's Island;Jennifer Flackett;96;Gerard Butler;Anthony Simcoe;Christopher James Baker;Adventure;37000000;100000000;2008
Titan A.E.;Don Bluth;94;Matt Damon;Janeane Garofalo;Nathan Lane;Action;75000000;37000000;2000
Triple 9;John Hillcoat;115;Kate Winslet;Norman Reedus;Clifton Collins Jr.;Action;20000000;24000000;2016
Men in Black II;Barry Sonnenfeld;88;Will Smith;Rosario Dawson;Rip Torn;Action;140000000;441000000;2002
The Adventures of Tintin;Steven Spielberg;107;Toby Jones;Mackenzie Crook;Tony Curran;Action;135000000;374000000;2011
The Girl with the Dragon Tattoo;David Fincher;158;Robin Wright;Goran Visnjic;Joely Richardson;Crime;90000000;232000000;2011
The Sentinel;Clark Johnson;107;Blair Brown;David Rasche;Martin Donovan;Action;60000000;94000000;2006
A Walk Among the Tombstones;Scott Frank;114;Liam Neeson;Boyd Holbrook;David Harbour;Crime;28000000;58000000;2014
Four Brothers;John Singleton;109;Josh Charles;Tony Nappo;Fionnula Flanagan;Action;45000000;73700000;2005
Compadres;Enrique Begne;101;Kevin Pollak;Héctor Jiménez;Erick Elias;Action;3000000;3000000;2016
This Christmas;Preston A. Whitmore II;117;Mekhi Phifer;Chris Brown;Loretta Devine;Comedy;13000000;50000000;2007
Be Kind Rewind;Michel Gondry;102;Quinton Aaron;Mia Farrow;Melonie Diaz;Comedy;20000000;31000000;2008
Prince of Persia: The Sands of Time;Mike Newell;116;Jake Gyllenhaal;Richard Coyle;Reece Ritchie;Action;200000000;336000000;2010
Better Luck Tomorrow;Justin Lin;98;Parry Shen;Jason Tobin;Collin Kahey;Crime;250000;3800000;2002
Boys and Girls;Robert Iscove;94;Alyson Hannigan;Amanda Detmer;Tsianina Joelson;Comedy;16000000;31600000;2000
Good Boy!;John Hoffman;87;Liam Aiken;Molly Shannon;Kevin Nealon;Comedy;17000000;4800000;2003
The Mothman Prophecies;Mark Pellington;119;Debra Messing;Will Patton;David Eigenberg;Thriller;32000000;55000000;2002
The Haunting of Molly Hartley;Mickey Liddell;82;Jessica Lowndes;Randy Wayne;Haley Bennett;Thriller;5000000;15500000;2008
Frost/Nixon;Ron Howard;122;Toby Jones;Clint Howard;Oliver Platt;Drama;25000000;27000000;2008
28 Days;Betty Thomas;103;Steve Buscemi;Viggo Mortensen;Elizabeth Perkins;Comedy;43000000;115000000;2000
Blade: Trinity;David S. Goyer;122;Ryan Reynolds;Natasha Lyonne;John Michael Higgins;Action;65000000;132000000;2004
Harry Potter and the Prisoner of Azkaban;Alfonso Cuarón;142;Daniel Radcliffe;Gary Oldman;Rupert Grint;Adventure;130000000;797000000;2004
Super Size Me;Morgan Spurlock;100;Chemeeka Walker;Amanda Kearsan;Amelia Giancarlo;Comedy;65000;29000000;2004
D.E.B.S.;Angela Robinson;91;Jordana Brewster;Geoff Stults;Scoot McNairy;Action;3500000;3000000;2004
Rescue Dawn;Werner Herzog;120;Christian Bale;Toby Huss;François Chau;Biography;10000000;10000000;2006
Donnie Darko;Richard Kelly;133;Jake Gyllenhaal;Mary McDonnell;James Duval;Sci-Fi;4500000;7300000;2001
A Thousand Words;Brian Robbins;91;John Gatins;Lou Saliba;Greg Collins;Comedy;40000000;22000000;2012
Paul Blart: Mall Cop 2;Andy Fickman;94;D.B. Woodside;Daniella Alonso;Eduardo Verástegui;Action;30000000;107000000;2015
The Black Dahlia;Brian De Palma;121;Scarlett Johansson;Mia Kirshner;Mike Starr;Crime;50000000;48000000;2006
Here on Earth;Mark Piznarski;96;Bruce Greenwood;Chris Klein;Elaine Hendrix;Drama;15000000;10000000;2000
Tinker Tailor Soldier Spy;Tomas Alfredson;127;Benedict Cumberbatch;Colin Firth;Gary Oldman;Drama;20000000;80000000;2011
A Separation;Asghar Farhadi;123;Shahab Hosseini;Leila Hatami;Peyman Moaadi;Drama;500000;8000000;2011
End of Watch;David Ayer;109;Jake Gyllenhaal;Anna Kendrick;America Ferrera;Crime;7000000;55000000;2012
The Legend of Hercules;Renny Harlin;99;Roxanne McKee;Luke Newberry;Gaia Weiss;Action;70000000;62000000;2014
The Sweetest Thing;Roger Kumble;90;Judith Chapman;Lillian Adams;Chelsea Bond;Comedy;43000000;68000000;2002
Flightplan;Robert Schwentke;98;Erika Christensen;Michael Irby;Haley Ramm;Drama;55000000;223000000;2005
The Heat;Paul Feig;123;Michael Rapaport;William Xifaras;Demián Bichir;Action;43000000;229000000;2013
The Secret Life of Pets;Yarrow Cheney;87;Steve Coogan;Eric Stonestreet;Albert Brooks;Animation;75000000;875000000;2016
Water for Elephants;Francis Lawrence;120;Robert Pattinson;Christoph Waltz;James Frain;Drama;38000000;117000000;2011
Bamboozled;Spike Lee;135;Gillian White;Michael Rapaport;Jada Pinkett Smith;Comedy;10000000;2000000;2000
Percy Jackson: Sea of Monsters;Thor Freudenthal;106;Logan Lerman;Leven Rambin;Brandon T. Jackson;Adventure;90000000;200000000;2013
Yogi Bear;Eric Brevig;80;Justin Timberlake;Tom Cavanagh;Josh Robert Thompson;Animation;80000000;201000000;2010
The Wedding Planner;Adam Shankman;103;Matthew McConaughey;Judy Greer;Alex Rocco;Comedy;35000000;95000000;2001
Phone Booth;Joel Schumacher;81;Radha Mitchell;John Enos III;Richard T. Jones;Crime;13000000;97000000;2002
The Life Aquatic with Steve Zissou;Wes Anderson;119;Bill Murray;Anjelica Huston;Matthew Gray Gubler;Adventure;50000000;34800000;2004
Pitch Perfect;Jason Moore;112;Anna Kendrick;Hana Mae Lee;Ben Platt;Comedy;17000000;115000000;2012
The Losers;Sylvain White;97;Chris Evans;Jason Patric;Ã“scar Jaenada;Action;25000000;29000000;2010
Wild Target;Jonathan Lynn;98;Rupert Grint;Rupert Everett;Geoff Bell;Action;8000000;5800000;2010
102 Dalmatians;Kevin Lima;100;Ioan Gruffudd;Eric Idle;Jim Carter;Adventure;85000000;183000000;2000
Antiviral;Brandon Cronenberg;108;Sarah Gadon;Douglas Smith;Caleb Landry Jones;Horror;3200000;1700000;2012
Sucker Punch;Zack Snyder;128;Jon Hamm;Abbie Cornish;Scott Glenn;Action;82000000;90000000;2011
The Sorcerer's Apprentice;Jon Turteltaub;109;Nicolas Cage;Omar Benson Miller;Robert Capron;Action;150000000;215000000;2010
Who's Your Caddy?;Don Michael Paul;93;Jeffrey Jones;Faizon Love;Lil' Wayne;Comedy;7000000;5420000;2007
Anchorman 2: The Legend Continues;Adam McKay;143;Harrison Ford;Will Ferrell;Steve Carell;Comedy;50000000;173000000;2013
Mean Girls;Mark Waters;97;Tina Fey;Amy Poehler;Neil Flynn;Comedy;17000000;130000000;2004
Spider-Man 2;Sam Raimi;135;J.K. Simmons;James Franco;Kirsten Dunst;Action;200000000;788000000;2004
The Italian Job;F. Gary Gray;111;Jason Statham;Charlize Theron;Jimmy Shubert;Action;60000000;176000000;2003
The Purge: Election Year;James DeMonaco;109;Frank Grillo;Joseph Julian Soria;Mykelti Williamson;Action;10000000;118000000;2016
Wal-Mart: The High Cost of Low Price;Robert Greenwald;20;Lee Scott;Jon Hunter;Matt Hunter;Documentary;1500000;2000000;2005
Captain America: Civil War;Anthony Russo;147;Robert Downey Jr.;Scarlett Johansson;Chris Evans;Action;250000000;1153000000;2016
Mud;Jeff Nichols;130;Matthew McConaughey;Tye Sheridan;Sam Shepard;Drama;10000000;32000000;2012
What to Expect When You're Expecting;Kirk Jones;110;Anna Kendrick;Dennis Quaid;Thomas Lennon;Comedy;40000000;84500000;2012
Insidious: Chapter 3;Leigh Whannell;97;Lin Shaye;Hayley Kiyoko;Leigh Whannell;Horror;10000000;113000000;2015
Lovely & Amazing;Nicole Holofcener;91;Aunjanue Ellis;Brenda Blethyn;Raven Goodwin;Comedy;250000;5000000;2001
Someone Like You...;Tony Goldwyn;97;Hugh Jackman;Ellen Barkin;Catherine Dent;Comedy;23000000;12000000;2001
The Twilight Saga: New Moon;Chris Weitz;130;Robert Pattinson;Kristen Stewart;Taylor Lautner;Adventure;50000000;709000000;2009
The Dictator;Larry Charles;99;Sayed Badreya;Aasif Mandvi;Horatio Sanz;Comedy;65000000;20000000;2012
Cast Away;Robert Zemeckis;143;Tom Hanks;Paul Sanchez;Nick Searcy;Adventure;90000000;429000000;2000
College;Deb Hagan;94;Drake Bell;Alona Tal;Haley Bennett;Comedy;6500000;5600000;2008
The Fast and the Furious;Rob Cohen;106;Paul Walker;Vin Diesel;Jordana Brewster;Action;38000000;207000000;2001
The Men Who Stare at Goats;Grant Heslov;94;Kevin Spacey;Jeff Bridges;Stephen Root;Comedy;25000000;69000000;2009
Red Planet;Antony Hoffman;106;Bob Neill;Val Kilmer;Tom Sizemore;Sci-Fi;70000000;33000000;2000
Snowpiercer;Joon-ho Bong;126;Chris Evans;Ewen Bremner;Kang-ho Song;Action;39200000;86000000;2013
Without a Paddle;Steven Brill;95;Antony Starr;Scott Adsit;Bonnie Somerville;Adventure;19000000;72300000;2004
X-Men 2;Bryan Singer;134;Hugh Jackman;Bruce Davison;Aaron Stanford;Action;110000000;407000000;2003
Big Mommas: Like Father Like Son;John Whitesell;113;Brandon T. Jackson;Tony Curran;Portia Doubleday;Action;32000000;82000000;2011
Legend of the Guardians: The Owls of Ga'Hoole;Zack Snyder;101;Abbie Cornish;Richard Roxburgh;Anthony LaPaglia;Action;80000000;140000000;2010
New York Minute;Dennie Gordon;91;Mary-Kate Olsen;Bob Saget;Riley Smith;Comedy;30000000;21000000;2004
The Shipping News;Lasse Hallström;111;Kevin Spacey;Scott Glenn;Jason Behr;Drama;35000000;35000000;2001
The Tooth Fairy;Chuck Bowman;89;P.J. Soles;Lochlyn Munro;Steve Bacic;Horror;1500000;6000000;2006
Troy;Wolfgang Petersen;196;Brad Pitt;Orlando Bloom;Julian Glover;Adventure;175000000;497000000;2004
Fight Valley;Rob Hawk;90;Kari J. Kramer;Erin O'Brien;Cabrina Collesides;Action;27000000;300000;2016
Hostel: Part II;Eli Roth;94;Jay Hernandez;Lauren German;Stanislav Ianevski;Horror;10000000;35000000;2007
Ghost Rider: Spirit of Vengeance;Mark Neveldine;96;Nicolas Cage;Spencer Wilding;Christopher Lambert;Action;57000000;132000000;2011
The Boss;Ben Falcone;99;Peter Dinklage;Tyler Labine;Ben Falcone;Comedy;29000000;105000000;2016
Final Destination 5;Steven Quale;92;Emma Bell;Jacqueline MacInnes Wood;Courtney B. Vance;Horror;40000000;160000000;2011
Unbreakable;M. Night Shyamalan;106;Robin Wright;Bruce Willis;Michael Kelly;Drama;75000000;248000000;2000
War;Philip G. Atwell;103;Jason Statham;Jet Li;Nadine Velazquez;Action;25000000;40000000;2007
The Monuments Men;George Clooney;118;Bill Murray;Matt Damon;Bob Balaban;Drama;70000000;155000000;2014
The Secret Life of Walter Mitty;Ben Stiller;114;Adam Scott;Adrian Martinez;Joey Slotnick;Adventure;90000000;188000000;2013
Transformers: Revenge of the Fallen;Michael Bay;150;Glenn Morshower;Kevin Dunn;Ramon Rodriguez;Action;200000000;1090000000;2009
Accidental Love;David O. Russell;100;Jake Gyllenhaal;Kirstie Alley;Beverly D'Angelo;Comedy;26000000;1300000;2015
Shallow Hal;Bobby Farrelly;114;Jason Alexander;Bruce McGill;Susan Ward;Comedy;40000000;141000000;2001
Spirited Away;Hayao Miyazaki;125;Bunta Sugawara;RyÃ»nosuke Kamiki;Miyu Irino;Animation;19000000;395000000;2001
4 Months 3 Weeks and 2 Days;Cristian Mungiu;113;Anamaria Marinca;Vlad Ivanov;Alexandru Potocean;Drama;590000;1500000;2007
Aquamarine;Elizabeth Allen Rosenbaum;104;Tammin Sursok;Joanna 'JoJo' Levesque;Dichen Lachman;Comedy;12000000;23000000;2006
Dying of the Light;Paul Schrader;94;Nicolas Cage;IrÃ¨ne Jacob;Tomiwa Edun;Thriller;5000000;200000;2014
Spirit: Stallion of the Cimarron;Kelly Asbury;83;Matt Damon;Charles Napier;Zahn McClarnon;Animation;80000000;123000000;2002
The Nativity Story;Catherine Hardwicke;101;Keisha Castle-Hughes;Hiam Abbass;Shaun Toub;Drama;30000000;47100000;2006
Up in the Air;Jason Reitman;108;J.K. Simmons;Anna Kendrick;Chris Lowell;Drama;25000000;166000000;2009
The Peanuts Movie;Steve Martino;88;Francesca Capaldi;Venus Schultheis;Bill Melendez;Animation;99000000;246000000;2015
Alvin and the Chipmunks: The Squeakquel;Betty Thomas;88;Amy Poehler;Bridgit Mendler;Jesse McCartney;Animation;75000000;443000000;2009
The Amazing Spider-Man;Marc Webb;153;Emma Stone;Andrew Garfield;Chris Zylka;Action;230000000;757000000;2012
The Lucky Ones;Neil Burger;115;John Heard;Katherine LaNasa;Mark L. Young;Comedy;15000000;6000000;2008
Along Came Polly;John Hamburg;90;Philip Seymour Hoffman;Masi Oka;Debra Messing;Comedy;42000000;172000000;2004
Casino Royale;Martin Campbell;144;Eva Green;Tobias Menzies;Ivana Milicevic;Action;150000000;599000000;2006
Mission: Impossible - Rogue Nation;Christopher McQuarrie;131;Tom Cruise;Jeremy Renner;Sean Harris;Action;150000000;682000000;2015
The Reader;Stephen Daldry;124;Kate Winslet;David Kross;Susanne Lothar;Drama;32000000;36000000;2008
Mona Lisa Smile;Mike Newell;117;Julia Roberts;Kirsten Dunst;Marian Seldes;Drama;65000000;69000000;2003
What Just Happened;Barry Levinson;104;Robert De Niro;Robin Wright;Kristen Stewart;Comedy;25000000;6700000;2008
Gran Torino;Clint Eastwood;116;Clint Eastwood;Dreama Walker;Ahney Her;Drama;33000000;270000000;2008
The Other Woman;Nick Cassavetes;109;Don Johnson;Kate Upton;David Thornton;Comedy;40000000;196000000;2014
Win a Date with Tad Hamilton!;Robert Luketic;95;Topher Grace;Gary Cole;Nathan Lane;Comedy;24000000;17000000;2004
Sherrybaby;Laurie Collyer;96;Brad William Henke;Kate Burton;Michelle Hurst;Drama;2000000;390000;2006
The Alamo;John Lee Hancock;137;Dennis Quaid;Marc Blucas;Jordi MollÃ ;Drama;107000000;23000000;2004
The Hunger Games: Mockingjay - Part 2;Francis Lawrence;137;Jennifer Lawrence;Philip Seymour Hoffman;Josh Hutcherson;Adventure;160000000;650000000;2015
Sherlock Holmes: A Game of Shadows;Guy Ritchie;129;Robert Downey Jr.;Eddie Marsan;Paul Anderson;Action;125000000;544000000;2011
Catwoman;Pitof;87;Frances Conroy;Christopher Heyerdahl;Alex Borstein;Action;100000000;82000000;2004
Kissing Jessica Stein;Charles Herman-Wurmfeld;97;Scott Cohen;Jennifer Westfeldt;Brian Stepanek;Comedy;1000000;7800000;2001
Premium Rush;David Koepp;91;Joseph Gordon-Levitt;Dania Ramirez;Aasif Mandvi;Action;35000000;31000000;2012
St. Trinian's;Oliver Parker;100;Lily Cole;Rupert Everett;Tamsin Egerton;Comedy;13500000;25000000;2007
The Matador;Richard Shepard;96;Adam Scott;Philip Baker Hall;Hope Davis;Comedy;10000000;12000000;2005
American Hustle;David O. Russell;138;Jennifer Lawrence;Christian Bale;Bradley Cooper;Crime;40000000;251000000;2013
Dracula 2000;Patrick Lussier;99;Gerard Butler;Danny Masterson;Jeri Ryan;Action;28000000;47000000;2000
Tim and Eric's Billion Dollar Movie;Tim Heidecker;93;Michael Gross;William Atherton;Bob Ross;Comedy;3000000;223000;2012
Two Lovers and a Bear;Kim Nguyen;96;Gordon Pinsent;Justin Edward Seale;John Ralston;Drama;8700000;1600000;2016
Cloudy with a Chance of Meatballs 2;Cody Cameron;95;Will Forte;Khamani Griffin;Melissa Sturm;Animation;78000000;274000000;2013
Erin Brockovich;Steven Soderbergh;131;Julia Roberts;Albert Finney;Conchata Ferrell;Biography;52000000;256000000;2000
Trust;David Schwimmer;106;Noah Emmerich;Jordan Trovillion;Zoe Levin;Crime;9500000;547000;2010
Zero Dark Thirty;Kathryn Bigelow;157;Jennifer Ehle;Harold Perrineau;Parker Sawyers;Drama;40000000;132000000;2012
Boogeyman;Stephen Kay;89;Barry Watson;Skye McCole Bartusiak;Charles Mesure;Thriller;20000000;67000000;2005
Duma;Carroll Ballard;100;Eamonn Walker;Hope Davis;Campbell Scott;Adventure;12000000;1200000;2005
Jersey Boys;Clint Eastwood;134;Johnny Cannizzaro;Steve Schirripa;Scott Vance;Biography;40000000;67900000;2014
Snow Flower and the Secret Fan;Wayne Wang;104;Bingbing Li;Russell Wong;Ji-hyun Jun;Drama;6000000;11000000;2011
The Last Witch Hunter;Breck Eisner;106;Vin Diesel;Joseph Gilgun;Lotte Verbeek;Action;90000000;147000000;2015
A Good Day to Die Hard;John Moore;101;Bruce Willis;Cole Hauser;Megalyn Echikunwoke;Action;92000000;305000000;2013
Housebound;Gerard Johnstone;107;Morgana O'Reilly;Bruce Hopkins;Cameron Rhodes;Comedy;350000;1000000;2014
Confessions of a Dangerous Mind;George Clooney;113;Dick Clark;David Julian Hirsh;Jennifer Hall;Biography;29000000;33000000;2002
Teacher's Pet;Timothy Björklund;74;Nathan Lane;Kelsey Grammer;Jerry Stiller;Animation;10000000;6000000;2004
Beyond Borders;Martin Campbell;127;Angelina Jolie;Teri Polo;Noah Emmerich;Adventure;35000000;26000000;2003
Hannibal Rising;Peter Webber;131;Li Gong;Stephen Walters;Richard Brake;Crime;50000000;82500000;2007
Like Mike;John Schultz;99;Brenda Song;Robert Forster;Anne Meara;Comedy;30000000;62000000;2002
The Dark Knight;Christopher Nolan;152;Christian Bale;Heath Ledger;Morgan Freeman;Action;185000000;1000000000;2008
Three Burials;Tommy Lee Jones;107;Levon Helm;Dwight Yoakam;Guillermo Arriaga;Crime;15000000;18000000;2005
Welcome to the Sticks;Dany Boon;106;Dany Boon;Kad Merad;Michel Galabru;Comedy;11000000;193000000;2008
Evan Almighty;Tom Shadyac;96;Jimmy Bennett;Morgan Freeman;Steve Carell;Comedy;175000000;175000000;2007
Gigli;Martin Brest;121;Todd Giebenhain;Lenny Venito;David Backus;Comedy;54000000;7560000;2003
In the Heart of the Sea;Ron Howard;122;Chris Hemsworth;Benjamin Walker;Frank Dillane;Action;100000000;93500000;2015
The Bucket List;Rob Reiner;97;Morgan Freeman;Noel Gugliemi;Sean Hayes;Adventure;45000000;175000000;2007
Secretariat;Randall Wallace;123;Scott Glenn;Kevin Connolly;Dylan Walsh;Biography;35000000;60000000;2010
Bubba Ho-Tep;Don Coscarelli;92;Daniel Roebuck;Ossie Davis;Ella Joyce;Comedy;1000000;1200000;2002
Draft Day;Ivan Reitman;110;Jennifer Garner;Chi McBride;Patrick St. Esprit;Drama;25000000;29000000;2014
The Legend of Tarzan;David Yates;110;Christoph Waltz;Alexander Skarsgård;Casper Crump;Action;180000000;216000000;2016
Colombiana;Olivier Megaton;112;Jordi MollÃ ;Callum Blue;Jesse Borrego;Action;40000000;61000000;2011
Exorcist: The Beginning;Renny Harlin;125;James D'Arcy;Alan Ford;Izabella Scorupco;Horror;50000000;78000000;2004
Megamind;Tom McGrath;95;J.K. Simmons;Brad Pitt;Will Ferrell;Animation;130000000;322000000;2010
The Big Bounce;George Armitage;88;Morgan Freeman;Andrew Wilson;Willie Nelson;Comedy;50000000;6800000;2004
Funny People;Judd Apatow;153;Adam Sandler;RZA;Maude Apatow;Comedy;75000000;71000000;2009
Real Women Have Curves;Patricia Cardoso;90;America Ferrera;Lupe Ontiveros;George Lopez;Comedy;3000000;7500000;2002
Keeping the Faith;Edward Norton;128;Lisa Edelstein;Milos Forman;Anne Bancroft;Comedy;30000000;60000000;2000
This Is It;Kenny Ortega;111;Misha Gabriel Hamilton;Mekia Cox;Judith Hill;Documentary;60000000;252000000;2009
Cars 2;John Lasseter;106;Joe Mantegna;Thomas Kretschmann;Eddie Izzard;Animation;200000000;549000000;2011
Easy A;Will Gluck;92;Emma Stone;Dan Byrd;Fred Armisen;Comedy;8000000;76000000;2010
I Frankenstein;Stuart Beattie;92;Caitlin Stasey;Kevin Grevioux;Miranda Otto;Action;65000000;70000000;2014
Oliver Twist;Roman Polanski;130;Ian McNeice;Barney Clark;Tony Noble;Crime;50000000;96000000;2005
The Last Castle;Rod Lurie;131;Clifton Collins Jr.;Delroy Lindo;Michael Irby;Action;60000000;16000000;2001
Because of Winn-Dixie;Wayne Wang;106;Cicely Tyson;Luke Benward;Eva Marie Saint;Comedy;14000000;50000000;2005
Mandela: Long Walk to Freedom;Justin Chadwick;141;Terry Pheto;Fana Mokoena;Tony Kgoroge;Biography;35000000;28000000;2013
The Secret in Their Eyes;Juan José Campanella;129;Ricardo Darín;Soledad Villamil;Guillermo Francella;Drama;2000000;3400000;2009
Intolerable Cruelty;Joel Coen;100;Cedric the Entertainer;Paul Adelstein;Julia Duffy;Comedy;60000000;39000000;2003
Open Water;Chris Kentis;79;Blanchard Ryan;Saul Stein;Daniel Travis;Biography;500000;55000000;2003
Shrek;Andrew Adamson;90;Kathleen Freeman;Chris Miller;Bobby Block;Animation;60000000;484000000;2001
The King of Najayo;Fernando Baez Mella;101;Manny Perez;Christian Alvarez;Claudette Lalí;Crime;500000;3000000;2012
The Machinist;Brad Anderson;94;Christian Bale;Jennifer Jason Leigh;Reg E. Cathey;Thriller;5000000;7800000;2004
Trucker;James Mottern;90;Jimmy Bennett;Joey Lauren Adams;Matthew Lawrence;Drama;2000000;107000;2008
