Movie;Director;Running time;Actor 1;Actor 2;Actor 3;Genre;Budget;Box Office;Release year
Wild;Jean-Marc Vallée;115;Michiel Huisman;Kevin Rankin;Gaby Hoffmann;Biography;15000000;52000000;2014
Ice Age: The Meltdown;Carlos Saldanha;115;Denis Leary;Ray Romano;Jay Leno;Action;80000000;660000000;2006
Tsotsi;Gavin Hood;94;Terry Pheto;Nambitha Mpumlwana;Rapulana Seiphemo;Crime;3000000;9000000;2005
3000 Miles to Graceland;Demian Lichtenstein;125;Jon Lovitz;Bokeem Woodbine;Ice-T;Action;42000000;77000000;2001
Monster;Patty Jenkins;109;Charlize Theron;Bruce Dern;Pruitt Taylor Vince;Biography;4500000;60000000;2003
Stealing Harvard;Bruce McCulloch;85;Martin Starr;Megan Mullally;Chris Penn;Comedy;25000000;16000000;2002
All the Pretty Horses;Billy Bob Thornton;220;Matt Damon;Henry Thomas;Sam Shepard;Drama;57000000;18000000;2000
The Benchwarmers;Dennis Dugan;75;Jon Lovitz;Jon Heder;Tim Meadows;Comedy;33000000;57000000;2006
Alfie;Charles Shyer;103;Omar Epps;Nia Long;Jane Krakowski;Comedy;60000000;55000000;2004
Broken Horses;Vidhu Vinod Chopra;101;María Valverde;Chris Marquette;Chad Bishop;Action;15000000;2000000;2015
May;Lucky McKee;93;James Duval;Will Estes;Nora Zehetner;Thriller;500000;1500000;2002
The Forsaken;J.S. Cardone;90;Brendan Fehr;Kerr Smith;Izabella Miko;Horror;5000000;7000000;2001
The Manchurian Candidate;Jonathan Demme;129;Denzel Washington;Dorian Missick;Jose Pablo Cantillo;Drama;80000000;96000000;2004
Strangerland;Kim Farrant;112;Nicholas Hamilton;Reef Ireland;Sean Keenan;Drama;10000000;850000;2015
The Descent;Neil Marshall;100;MyAnna Buring;Shauna Macdonald;Craig Conway;Horror;3500000;57000000;2005
Digimon: The Movie;Mamoru Hosoda;82;Lara Jill Miller;Colleen O'Shaughnessey;Mona Marshall;Action;5000000;16000000;2000
Made in Dagenham;Nigel Cole;113;Bob Hoskins;Robbie Kay;Sally Hawkins;Biography;7200000;16000000;2010
Victor Frankenstein;Paul McGuigan;110;Daniel Radcliffe;Spencer Wilding;Daniel Mays;Thriller;40000000;43000000;2015
You Will Meet a Tall Dark Stranger;Woody Allen;98;Anthony Hopkins;Naomi Watts;Ewen Bremner;Comedy;22000000;22000000;2010
Everest;Baltasar Kormákur;121;Michael Kelly;Martin Henderson;Tom Goodman-Hill;Biography;55000000;207000000;2015
Miss Congeniality;Donald Petrie;109;Candice Bergen;Wendy Raquel Robinson;Heather Burns;Action;45000000;212000000;2000
40 Days and 40 Nights;Michael Lehmann;96;Emmanuelle Vaugier;Vinessa Shaw;Paulo Costanzo;Comedy;17000000;95000000;2002
No Reservations;Scott Hicks;104;Zoë Kravitz;Lily Rabe;Bob Balaban;Comedy;28000000;92000000;2007
The Chorus;Christophe Barratier;97;Jean-Baptiste Maunier;François Berléand;Gérard Jugnot;Drama;5500000;84000000;2004
Drive Angry;Patrick Lussier;104;Nicolas Cage;Billy Burke;Katy Mixon;Action;50000000;29000000;2011
Say It Isn't So;J.B. Rogers;95;Eddie Cibrian;Chris Klein;Jack Plotnick;Comedy;25000000;12600000;2001
The Soloist;Joe Wright;117;Robert Downey Jr.;Stephen Root;Rachael Harris;Biography;60000000;26000000;2009
Bolt;Byron Howard;96;Chloë Grace Moretz;Diedrich Bader;James Lipton;Animation;150000000;309000000;2008
Joy;David O. Russell;124;Jennifer Lawrence;Robert De Niro;Bradley Cooper;Biography;60000000;101000000;2015
Monsters;Gareth Edwards;94;Scoot McNairy;Whitney Able;Ricky Catter;Sci-Fi;500000;4000000;2010
Vantage Point;Pete Travis;90;Dennis Quaid;Edgar Ramírez;William Hurt;Crime;40000000;77000000;2008
White Chicks;Keenen Ivory Wayans;109;Busy Philipps;Jaime King;Brittany Daniel;Comedy;37000000;113000000;2004
Bride Wars;Gary Winick;89;Anne Hathaway;Steve Howey;Candice Bergen;Comedy;30000000;114000000;2009
City of Life and Death;Chuan Lu;132;Ye Liu;Yuanyuan Gao;Ryu Kohata;Drama;12000000;2000000;2009
Cloud Atlas;Tom Tykwer;172;Tom Hanks;Jim Sturgess;Jim Broadbent;Sci-Fi;102000000;130000000;2012
Dirty Pretty Things;Stephen Frears;97;Sophie Okonedo;Benedict Wong;Sergi López;Crime;10000000;13000000;2002
District 9;Neill Blomkamp;112;Sharlto Copley;Jed Brophy;Jason Cope;Sci-Fi;30000000;115000000;2009
High Fidelity;Stephen Frears;113;Drake Bell;Lili Taylor;Lisa Bonet;Comedy;20000000;47000000;2000
Inescapable;Ruba Nadda;93;Saad Siddiqui;Bonnie Lee Bouman;Fadia Nadda;Drama;4000000;2000000;2012
Alpha and Omega;Anthony Bell;90;Kevin Sussman;Larry Miller;Christine Lakin;Animation;20000000;24000000;2010
The Secret Life of Bees;Gina Prince-Bythewood;110;Nate Parker;Alicia Keys;Jennifer Hudson;Drama;11000000;39000000;2008
All or Nothing;Mike Leigh;121;Lesley Manville;Ruth Sheen;Gary McDonald;Drama;9000000;3900000;2002
Oblivion;Joseph Kosinski;124;Morgan Freeman;Tom Cruise;Zoë Bell;Action;120000000;286000000;2013
Partition;Vic Sarin;116;Jimi Mistry;Jesse Moss;John Light;Drama;10000000;1000000;2007
Rio;Carlos Saldanha;96;Anne Hathaway;Wanda Sykes;Will.i.am;Animation;90000000;484000000;2011
The Game of Their Lives;David Anspaugh;101;Gerard Butler;Costas Mandylor;Jimmy Jean-Louis;Drama;20000000;3900000;2005
There Be Dragons;Roland Joffé;102;Jordi MollÃ ;Dougray Scott;Lily Cole;Biography;36000000;6000000;2011
What's the Worst That Could Happen?;Sam Weisman;94;Bernie Mac;Larry Miller;Richard Schiff;Comedy;45000000;57200000;2001
Mirror Mirror;Tarsem Singh;106;Julia Roberts;Nathan Lane;Danny Woodburn;Adventure;85000000;183000000;2012
Alvin and the Chipmunks;Tim Hill;92;Jesse McCartney;Beth Riesgraf;Matthew Gray Gubler;Animation;60000000;361000000;2007
School for Scoundrels;Todd Phillips;108;Jon Heder;Sarah Silverman;Jacinda Barrett;Comedy;20000000;17000000;2006
Escape Plan;Mikael Håfström;115;Sylvester Stallone;50 Cent;Matt Gerald;Action;50000000;138000000;2013
